#HOT-1000 raw data (C) Hitachi High-Technologies Corporation. 2001-2016. All rights reserved 
#Raw data export format
#Ver 2.00
#
#Bluetooth Address,78:61:7C:34:25:8F
#
Device time,Headset time(sec),HbT change(left subtracted),HbT change(right subtracted),Estimated pulse rate,HbT change(left SD1cm),HbT change(left SD3cm),HbT change(right SD1cm),HbT change(right SD3cm),saturation(left SD1cm),saturation(left SD3cm),saturation(right SD1cm),saturation(right SD3cm),noise detection flag,Mark
2017/11/24 15:19:37.719, 0.0, 0.0, 0.0, 0.0, -0.16544699085177372, -0.09253985148062593, -0.42412058375535455, -0.4826095760363587, 0, 0, 0, 0, 0, 0
2017/11/24 15:19:37.833, 0.1, 0.18325764522651422, 0.11791703852224078, 0.0, -0.29473176003326973, -0.21613278624900856, -0.7900360954567778, -1.1761578537356052, 0, 0, 0, 0, 0, 0
2017/11/24 15:19:37.927, 0.2, 0.18468060382979257, 0.03600884702278506, 0.0, -0.37417732416994065, -0.3443449393156963, -0.944015891044419, -1.5215194937576757, 0, 0, 0, 0, 0, 0
2017/11/24 15:19:38.023, 0.3, 0.17702715854254913, -0.02319085754943832, 0.0, -0.43294391643329355, -0.4693514503427827, -1.0421903635912377, -1.7462764330690073, 0, 0, 0, 0, 0, 0
2017/11/24 15:19:38.134, 0.4, 0.16710461228267537, -0.07671344038985373, 0.0, -0.3889338523428423, -0.39472319925940447, -1.0877314753923755, -1.8358625288995998, 0, 0, 0, 0, 0, 0
2017/11/24 15:19:38.228, 0.5, 0.16622997732935785, -0.12148523677055426, 0.0, -0.3097242750145526, -0.2291029621342413, -1.0650127691341829, -1.7868768326746831, 0, 0, 0, 0, 0, 0
2017/11/24 15:19:38.324, 0.6, 0.1671762696071694, -0.16188163992139734, 0.0, -0.3296446200889247, -0.2652414777415073, -1.085842187631374, -1.8497707437089839, 0, 0, 0, 0, 0, 0
2017/11/24 15:19:38.434, 0.7, 0.16595690105596292, -0.19200607031933742, 0.0, -0.3593771160275563, -0.32150805617514466, -1.097167220785635, -1.913597727397633, 0, 0, 0, 0, 0, 0
2017/11/24 15:19:38.529, 0.8, 0.16338399448662022, -0.21571051774671318, 0.0, -0.39629581686305126, -0.4072388503499971, -1.130989221228345, -2.0271426846772833, 0, 0, 0, 0, 0, 0
2017/11/24 15:19:38.624, 0.9, 0.16093636298834438, -0.23571154784176793, 0.0, -0.45722759699804216, -0.528262293834084, -1.168302827236293, -2.1479894875131986, 0, 0, 0, 0, 0, 0
2017/11/24 15:19:38.735, 1.0, 0.156795337451275, -0.2537211321566172, 0.0, -0.505443978357063, -0.6368835097919958, -1.2090287095583, -2.2787475445239154, 0, 0, 0, 0, 0, 0
2017/11/24 15:19:38.833, 1.1, 0.1515537975418005, -0.2714748904753016, 0.0, -0.40364695761382974, -0.44211691903212325, -1.2034946746823447, -2.2867080620468636, 0, 0, 0, 0, 0, 0
2017/11/24 15:19:38.925, 1.2, 0.14718584761723844, -0.2918577805380524, 0.0, -0.3593771160275563, -0.33927908275266194, -1.201648634417697, -2.259590432966135, 0, 0, 0, 0, 0, 0
2017/11/24 15:19:39.036, 1.3, 0.14340273781659424, -0.3153839241936457, 0.0, -0.38401984703330205, -0.3972288369966317, -1.2695022339750244, -2.3671895219338146, 0, 0, 0, 0, 0, 0
