#HOT-1000 raw data (C) Hitachi High-Technologies Corporation. 2001-2016. All rights reserved 
#Raw data export format
#Ver 2.00
#
#Bluetooth Address,78:61:7C:34:25:8F
#
Device time,Headset time(sec),HbT change(left subtracted),HbT change(right subtracted),Estimated pulse rate,HbT change(left SD1cm),HbT change(left SD3cm),HbT change(right SD1cm),HbT change(right SD3cm),saturation(left SD1cm),saturation(left SD3cm),saturation(right SD1cm),saturation(right SD3cm),noise detection flag,Mark
2017/11/24 15:35:38.413, 0.0, 0.0, 0.0, 0.0, -0.05899145956798968, -0.12692996555485125, -0.03904098527700395, -0.10634377306901222, 0, 0, 0, 0, 0, 0
2017/11/24 15:35:38.526, 0.1, -0.8573466765015461, -0.038286350089158816, 0.0, -0.014094420396870255, -0.051285557573350626, -0.03373875784480829, -0.08792754598753039, 0, 0, 0, 0, 0, 0
2017/11/24 15:35:38.622, 0.2, -0.8496598342989505, -0.03500785017683716, 0.0, 0.05554037147654789, 0.08260503783361361, 0.014236023857134406, 0.0159377068186215, 0, 0, 0, 0, 0, 0
2017/11/24 15:35:38.715, 0.3, -0.8363882529758278, -0.02459993835536182, 0.0, 0.06775038975430636, 0.09305436243091014, 0.04108893480221809, 0.059181219611279534, 0, 0, 0, 0, 0, 0
2017/11/24 15:35:38.828, 0.4, -0.8236761587186906, -0.012409673556597944, 0.0, 0.06164165350269446, 0.07478235044914339, 0.059972151203894875, 0.08094403960548968, 0, 0, 0, 0, 0, 0
2017/11/24 15:35:38.923, 0.5, -0.8187695951552116, -0.0034564544925822283, 0.0, 0.04640238538142771, 0.03843743444598857, 0.05727017869826012, 0.06461305067238454, 0, 0, 0, 0, 0, 0
2017/11/24 15:35:39.016, 0.6, -0.817765796938562, -0.0019823901511766273, 0.0, 0.025145141094636614, -0.010469004377546387, 0.04108893480221809, 0.02401742847986288, 0, 0, 0, 0, 0, 0
2017/11/24 15:35:39.181, 0.7, -0.8190237406792941, -9.3010811363944E-4, 0.0, 9.612970915666708E-4, -0.05890170527595817, 0.033017908029512544, -1.8267254014192602E-4, 0, 0, 0, 0, 0, 0
2017/11/24 15:35:39.223, 0.8, -0.8216952731433895, -1.4144001602006684E-4, 0.0, -0.0321016427414067, -0.12442683659143317, 0.006208192322585404, -0.06150042315521054, 0, 0, 0, 0, 0, 0
2017/11/24 15:35:39.317, 0.9, -0.8246971711261711, 6.198298828847074E-4, 0.0, -0.008077572498706331, -0.08168078795526146, 0.006208192322585404, -0.06150042315521054, 0, 0, 0, 0, 0, 0
